,ADJUVANT,CURATIVE,NEOADJUVANT,PALLIATIVE
mean_prediction,0.018561484918793503,0.03225806451612903,0.0374331550802139,0.020933275185346708
false_positive_rate,0.005025125628140704,0.005747126436781609,0.012195121951219513,0.008130081300813009
Relative mean_prediction,0.8866976024748646 ✅,1.540994623655914 ✅,1.7882130124777182 ✅,1.0 ✅
Relative false_positive_rate,0.6180904522613064 ✅,0.7068965517241379 ✅,1.5 ✅,1.0 ✅
