,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,Other
mean_prediction,0.05228758169934641,0.059190031152647975,0.0,0.017628205128205128,0.02857142857142857,0.007614213197969543,0.034722222222222224,0.007751937984496124,0.043478260869565216,0.009389671361502348,0.01737242128121607,0.0
false_positive_rate,0.007751937984496124,0.030508474576271188,0.0,0.0054446460980036296,0.015625,0.0026666666666666666,0.0,0.0,0.023809523809523808,0.005050505050505051,0.005917159763313609,0.0
Relative mean_prediction,3.0098039215686274 ✅,3.407126168224299 ✅,0.0 ✅,1.0147235576923077 ✅,1.644642857142857 ✅,0.43829314720812185 ✅,1.9986979166666667 ✅,0.4462209302325581 ✅,2.5027173913043477 ✅,0.5404929577464789 ✅,1.0 ✅,0.0 ✅
Relative false_positive_rate,1.310077519379845 ✅,5.155932203389831 ✅,0.0 ✅,0.9201451905626135 ✅,2.640625 ✅,0.45066666666666666 ✅,0.0 ✅,0.0 ✅,4.023809523809524 ✅,0.8535353535353536 ✅,1.0 ✅,0.0 ✅
